<RUS> Aaron_S._Daggett | award | Purple_Heart
<RUS> Aaron_S._Daggett | battles | Battle_of_Mine_Run
<RUS> Abdul_Rahman_Ya'kub | inOfficeWhileVicePresident | Tuanku_Bujang_Tuanku_Othman
<RUS> Abdul_Taib_Mahmud | almaMater | University_of_Adelaide
<RUS> Abdul_Taib_Mahmud | region | Kota_Samarahan
<RUS> Abdul_Taib_Mahmud | successor | Adenan_Satem
<RUS> Abdul_Taib_Mahmud | successor | Sulaiman_Abdul_Rahman_Taib
<RUS> Abdulsalami_Abubakar | militaryBranch | Nigerian_Army
<RUS> Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
<RUS> Abner_W._Sibal | battles | World_War_II
<RUS> Abraham_A._Ribicoff | successor | Anthony_J._Celebrezze
<RUS> Adam_Koc | award | Cross_of_Valour_(Poland)
<RUS> Adam_Koc | deathPlace | New_York_City
<RUS> Adenan_Satem | almaMater | University_of_Adelaide
<RUS> Adonis_Georgiadis | office (workedAt, workedAs) | "Deputy Minister for Development, Competitiveness and Shipping"
<RUS> Agnes_Kant | office (workedAt, workedAs) | House_of_Representatives_(Netherlands)
<RUS> Agnes_Kant | residence | Netherlands
<RUS> Airey_Neave | award | Territorial_Decoration
<RUS> Airey_Neave | birthPlace | "Knightsbridge, London"
<RUS> Airey_Neave | serviceStartYear | 1935
<RUS> Alberto_Teisaire | nationality | Argentina
<RUS> Alfred_Moore_Scales | battles | Battle_of_Chancellorsville
<RUS> Alfred_Moore_Scales | battles | Overland_Campaign
<RUS> Allan_Shivers | battles | World_War_II
<RUS> Allan_Shivers | militaryBranch | United_States_Army
<RUS> Alvah_Sabin | activeYearsEndDate | 1857-03-03
<RUS> Alvah_Sabin | party | Whig_Party_(United_States)
<RUS> Antonis_Samaras | successor | Konstantinos_Mitsotakis
<RUS> Argentina | leaderName | Gabriela_Michetti
<RUS> Austria | language | Austrian_German
<RUS> Battle_of_Fredericksburg | isPartOfMilitaryConflict | American_Civil_War
<RUS> Edmund_J._Davis | deathPlace | Austin,_Texas
<RUS> Josef_Klaus | almaMater | University_of_Vienna
<RUS> Juan_Perón | party | Labour_Party_(Argentina)
<RUS> Mike_Akhigbe | predecessor | Oladipo_Diya
<RUS> Nigerian_Air_Force | commander | Sadique_Abubakar
<RUS> Poland | ethnicGroup | Romani_people
<RUS> Poland | language | Kashubian_language
<RUS> Ab_Klink | birthPlace | "Stellendam, Netherlands"
<RUS> Abdul_Taib_Mahmud | party | "Parti Bumiputera Sarawak"
<RUS> Abdulsalami_Abubakar | activeYearsEndDate | 1999-05-29
<RUS> Abdulsalami_Abubakar | birthPlace | Minna
<RUS> Abdulsalami_Abubakar | birthPlace | Niger_State
<RUS> Abner_W._Sibal | activeYearsEndDate | 1965-01-03
<RUS> Abner_W._Sibal | deathPlace | Alexandria,_Virginia
<RUS> Adam_Holloway | birthPlace | Kent
<RUS> Adam_Holloway | residence | Gravesend
<RUS> Adolf_Schärf | birthPlace | Mikulov
<RUS> Adonis_Georgiadis | inOfficeWhilePrimeMinister | Antonis_Samaras
